a war	Cx=219340038	Bx=801301707
remembered war	Cy=5682066	By=15897300
remembering war	Cy=5682066	By=15897300
remorseless war	Cy=5682066	By=15897300
remote war	Cy=5682066	By=15897300
remove war	Cy=5682066	By=15897300
removed war	Cy=5682066	By=15897300
removing war	Cy=5682066	By=15897300
renaissance war	Cy=5682066	By=15897300
render war	Cy=5682066	By=15897300
rendered war	Cy=5682066	By=15897300
rendering war	Cy=5682066	By=15897300
renders war	Cy=5682066	By=15897300
renew war	Cy=5682066	By=15897300
renewed war	Cy=5682066	By=15897300
renewing war	Cy=5682066	By=15897300
renews war	Cy=5682066	By=15897300
renounce war	Cy=5682066	By=15897300
renounced war	Cy=5682066	By=15897300
renounces war	Cy=5682066	By=15897300
renouncing war	Cy=5682066	By=15897300
renowned war	Cy=5682066	By=15897300
rent war	Cy=5682066	By=15897300
reorganized war	Cy=5682066	By=15897300
repair war	Cy=5682066	By=15897300
repairing war	Cy=5682066	By=15897300
repay war	Cy=5682066	By=15897300
repealing war	Cy=5682066	By=15897300
repeated war	Cy=5682066	By=15897300
repel war	Cy=5682066	By=15897300
repels war	Cy=5682066	By=15897300
replace war	Cy=5682066	By=15897300
replaced war	Cy=5682066	By=15897300
replaces war	Cy=5682066	By=15897300
replacing war	Cy=5682066	By=15897300
report war	Cy=5682066	By=15897300
reported war	Cy=5682066	By=15897300
reporting war	Cy=5682066	By=15897300
represent war	Cy=5682066	By=15897300
representative war	Cy=5682066	By=15897300
represented war	Cy=5682066	By=15897300
representing war	Cy=5682066	By=15897300
represents war	Cy=5682066	By=15897300
repress war	Cy=5682066	By=15897300
repressing war	Cy=5682066	By=15897300
repressive war	Cy=5682066	By=15897300
republic war	Cy=5682066	By=15897300
republican war	Cy=5682066	By=15897300
repudiate war	Cy=5682066	By=15897300
repudiated war	Cy=5682066	By=15897300
repudiates war	Cy=5682066	By=15897300
repudiating war	Cy=5682066	By=15897300
require war	Cy=5682066	By=15897300
required war	Cy=5682066	By=15897300
requires war	Cy=5682066	By=15897300
requiring war	Cy=5682066	By=15897300
requisite war	Cy=5682066	By=15897300
reread war	Cy=5682066	By=15897300
rereading war	Cy=5682066	By=15897300
resemble war	Cy=5682066	By=15897300
resembled war	Cy=5682066	By=15897300
resembles war	Cy=5682066	By=15897300
resembling war	Cy=5682066	By=15897300
resent war	Cy=5682066	By=15897300
residential war	Cy=5682066	By=15897300
resist war	Cy=5682066	By=15897300
resistance war	Cy=5682066	By=15897300
resisted war	Cy=5682066	By=15897300
resisting war	Cy=5682066	By=15897300
resistless war	Cy=5682066	By=15897300
resolute war	Cy=5682066	By=15897300
resounding war	Cy=5682066	By=15897300
resource war	Cy=5682066	By=15897300
respect war	Cy=5682066	By=15897300
respectable war	Cy=5682066	By=15897300
respected war	Cy=5682066	By=15897300
respecting war	Cy=5682066	By=15897300
respective war	Cy=5682066	By=15897300
respects war	Cy=5682066	By=15897300
responsible war	Cy=5682066	By=15897300
responsive war	Cy=5682066	By=15897300
restless war	Cy=5682066	By=15897300
restore war	Cy=5682066	By=15897300
restored war	Cy=5682066	By=15897300
restoring war	Cy=5682066	By=15897300
restrain war	Cy=5682066	By=15897300
restrained war	Cy=5682066	By=15897300
restraining war	Cy=5682066	By=15897300
restrict war	Cy=5682066	By=15897300
restricted war	Cy=5682066	By=15897300
restricting war	Cy=5682066	By=15897300
restrictive war	Cy=5682066	By=15897300
result war	Cy=5682066	By=15897300
resultant war	Cy=5682066	By=15897300
resulting war	Cy=5682066	By=15897300
results war	Cy=5682066	By=15897300
resume war	Cy=5682066	By=15897300
resumed war	Cy=5682066	By=15897300
resumes war	Cy=5682066	By=15897300
resuming war	Cy=5682066	By=15897300
retain war	Cy=5682066	By=15897300
retaliatory war	Cy=5682066	By=15897300
retired war	Cy=5682066	By=15897300
retreating war	Cy=5682066	By=15897300
retributive war	Cy=5682066	By=15897300
return war	Cy=5682066	By=15897300
returned war	Cy=5682066	By=15897300
returning war	Cy=5682066	By=15897300
rev war	Cy=5682066	By=15897300
reveal war	Cy=5682066	By=15897300
revenge war	Cy=5682066	By=15897300
revengeful war	Cy=5682066	By=15897300
revered war	Cy=5682066	By=15897300
review war	Cy=5682066	By=15897300
reviewing war	Cy=5682066	By=15897300
revised war	Cy=5682066	By=15897300
revive war	Cy=5682066	By=15897300
revived war	Cy=5682066	By=15897300
revoluntionary war	Cy=5682066	By=15897300
revolutinary war	Cy=5682066	By=15897300
revolution war	Cy=5682066	By=15897300
revolutionarv war	Cy=5682066	By=15897300
revolutionary war	Cy=5682066	By=15897300
revolutionay war	Cy=5682066	By=15897300
revolutionize war	Cy=5682066	By=15897300
revolutionized war	Cy=5682066	By=15897300
rf war	Cy=5682066	By=15897300
rhe war	Cy=5682066	By=15897300
rhetorical war	Cy=5682066	By=15897300
rhodesian war	Cy=5682066	By=15897300
rich war	Cy=5682066	By=15897300
richard war	Cy=5682066	By=15897300
richest war	Cy=5682066	By=15897300
richmond war	Cy=5682066	By=15897300
rid war	Cy=5682066	By=15897300
ridden war	Cy=5682066	By=15897300
ridiculous war	Cy=5682066	By=15897300
riding war	Cy=5682066	By=15897300
rif war	Cy=5682066	By=15897300
riff war	Cy=5682066	By=15897300
riffian war	Cy=5682066	By=15897300
right war	Cy=5682066	By=15897300
righteous war	Cy=5682066	By=15897300
rightful war	Cy=5682066	By=15897300
rights war	Cy=5682066	By=15897300
rigid war	Cy=5682066	By=15897300
rigorous war	Cy=5682066	By=15897300
ring war	Cy=5682066	By=15897300
ringing war	Cy=5682066	By=15897300
rising war	Cy=5682066	By=15897300
risk war	Cy=5682066	By=15897300
risked war	Cy=5682066	By=15897300
risking war	Cy=5682066	By=15897300
risks war	Cy=5682066	By=15897300
risky war	Cy=5682066	By=15897300
ritual war	Cy=5682066	By=15897300
ritualized war	Cy=5682066	By=15897300
rival war	Cy=5682066	By=15897300
river war	Cy=5682066	By=15897300
rivil war	Cy=5682066	By=15897300
rld war	Cy=5682066	By=15897300
ro war	Cy=5682066	By=15897300
road war	Cy=5682066	By=15897300
roaming war	Cy=5682066	By=15897300
roaring war	Cy=5682066	By=15897300
rob war	Cy=5682066	By=15897300
robbed war	Cy=5682066	By=15897300
robber war	Cy=5682066	By=15897300
robert war	Cy=5682066	By=15897300
robot war	Cy=5682066	By=15897300
robs war	Cy=5682066	By=15897300
rocket war	Cy=5682066	By=15897300
rohilla war	Cy=5682066	By=15897300
role war	Cy=5682066	By=15897300
roll war	Cy=5682066	By=15897300
rolling war	Cy=5682066	By=15897300
roman war	Cy=5682066	By=15897300
romanian war	Cy=5682066	By=15897300
romantic war	Cy=5682066	By=15897300
romanticize war	Cy=5682066	By=15897300
romanticized war	Cy=5682066	By=15897300
rome war	Cy=5682066	By=15897300
room war	Cy=5682066	By=15897300
roosevelt war	Cy=5682066	By=15897300
rotten war	Cy=5682066	By=15897300
rough war	Cy=5682066	By=15897300
roumanian war	Cy=5682066	By=15897300
round war	Cy=5682066	By=15897300
rous war	Cy=5682066	By=15897300
rousing war	Cy=5682066	By=15897300
routine war	Cy=5682066	By=15897300
roving war	Cy=5682066	By=15897300
royal war	Cy=5682066	By=15897300
royalist war	Cy=5682066	By=15897300
ruddy war	Cy=5682066	By=15897300
rude war	Cy=5682066	By=15897300
ruffian war	Cy=5682066	By=15897300
rugged war	Cy=5682066	By=15897300
ruined war	Cy=5682066	By=15897300
ruinous war	Cy=5682066	By=15897300
rule war	Cy=5682066	By=15897300
rum war	Cy=5682066	By=15897300
rumanian war	Cy=5682066	By=15897300
rumbling war	Cy=5682066	By=15897300
rumored war	Cy=5682066	By=15897300
rumoured war	Cy=5682066	By=15897300
run war	Cy=5682066	By=15897300
running war	Cy=5682066	By=15897300
rural war	Cy=5682066	By=15897300
rushing war	Cy=5682066	By=15897300
russell war	Cy=5682066	By=15897300
russia war	Cy=5682066	By=15897300
russian war	Cy=5682066	By=15897300
russianjapanese war	Cy=5682066	By=15897300
russofinnish war	Cy=5682066	By=15897300
russogerman war	Cy=5682066	By=15897300
russojapanese war	Cy=5682066	By=15897300
russopolish war	Cy=5682066	By=15897300
russoturkish war	Cy=5682066	By=15897300
rustic war	Cy=5682066	By=15897300
rustler war	Cy=5682066	By=15897300
ruthless war	Cy=5682066	By=15897300
rwandan war	Cy=5682066	By=15897300
ry war	Cy=5682066	By=15897300
s war	Cy=5682066	By=15897300
sa war	Cy=5682066	By=15897300
sabine war	Cy=5682066	By=15897300
sabotage war	Cy=5682066	By=15897300
sac war	Cy=5682066	By=15897300
sache war	Cy=5682066	By=15897300
sacred war	Cy=5682066	By=15897300
sacrifices war	Cy=5682066	By=15897300
sacrificial war	Cy=5682066	By=15897300
sacrilegious war	Cy=5682066	By=15897300
sad war	Cy=5682066	By=15897300
saddest war	Cy=5682066	By=15897300
safe war	Cy=5682066	By=15897300
sagebrush war	Cy=5682066	By=15897300
sahara war	Cy=5682066	By=15897300
saharan war	Cy=5682066	By=15897300
said war	Cy=5682066	By=15897300
sailing war	Cy=5682066	By=15897300
sales war	Cy=5682066	By=15897300
salt war	Cy=5682066	By=15897300
salvador war	Cy=5682066	By=15897300
salvadoran war	Cy=5682066	By=15897300
salvaged war	Cy=5682066	By=15897300
salvation war	Cy=5682066	By=15897300
samaritan war	Cy=5682066	By=15897300
same war	Cy=5682066	By=15897300
samian war	Cy=5682066	By=15897300
samnite war	Cy=5682066	By=15897300
samoan war	Cy=5682066	By=15897300
samuel war	Cy=5682066	By=15897300
samurai war	Cy=5682066	By=15897300
sanctified war	Cy=5682066	By=15897300
sanctify war	Cy=5682066	By=15897300
sanction war	Cy=5682066	By=15897300
sanctioned war	Cy=5682066	By=15897300
sanctioning war	Cy=5682066	By=15897300
sanctions war	Cy=5682066	By=15897300
sandinista war	Cy=5682066	By=15897300
sang war	Cy=5682066	By=15897300
sanguinary war	Cy=5682066	By=15897300
sanguine war	Cy=5682066	By=15897300
sanitized war	Cy=5682066	By=15897300
saracen war	Cy=5682066	By=15897300
sardinian war	Cy=5682066	By=15897300
sarmatian war	Cy=5682066	By=15897300
sarmatic war	Cy=5682066	By=15897300
satiric war	Cy=5682066	By=15897300
satirical war	Cy=5682066	By=15897300
satisfactory war	Cy=5682066	By=15897300
satisfy war	Cy=5682066	By=15897300
satisfying war	Cy=5682066	By=15897300
sauk war	Cy=5682066	By=15897300
savage war	Cy=5682066	By=15897300
save war	Cy=5682066	By=15897300
saving war	Cy=5682066	By=15897300
saw war	Cy=5682066	By=15897300
sawdust war	Cy=5682066	By=15897300
saxon war	Cy=5682066	By=15897300
say war	Cy=5682066	By=15897300
saying war	Cy=5682066	By=15897300
says war	Cy=5682066	By=15897300
scale war	Cy=5682066	By=15897300
scandalous war	Cy=5682066	By=15897300
scandinavian war	Cy=5682066	By=15897300
scanian war	Cy=5682066	By=15897300
scarce war	Cy=5682066	By=15897300
scarcely war	Cy=5682066	By=15897300
scarlet war	Cy=5682066	By=15897300
scarred war	Cy=5682066	By=15897300
scathing war	Cy=5682066	By=15897300
scattered war	Cy=5682066	By=15897300
sch war	Cy=5682066	By=15897300
schleswig war	Cy=5682066	By=15897300
schleswigholstein war	Cy=5682066	By=15897300
schmalkald war	Cy=5682066	By=15897300
schmalkaldic war	Cy=5682066	By=15897300
schon war	Cy=5682066	By=15897300
school war	Cy=5682066	By=15897300
science war	Cy=5682066	By=15897300
scientific war	Cy=5682066	By=15897300
scminole war	Cy=5682066	By=15897300
scorching war	Cy=5682066	By=15897300
scotch war	Cy=5682066	By=15897300
scots war	Cy=5682066	By=15897300
scottish war	Cy=5682066	By=15897300
screaming war	Cy=5682066	By=15897300
screeching war	Cy=5682066	By=15897300
screen war	Cy=5682066	By=15897300
scythian war	Cy=5682066	By=15897300
se war	Cy=5682066	By=15897300
sea war	Cy=5682066	By=15897300
seagoing war	Cy=5682066	By=15897300
seal war	Cy=5682066	By=15897300
search war	Cy=5682066	By=15897300
searing war	Cy=5682066	By=15897300
seasoned war	Cy=5682066	By=15897300
seat war	Cy=5682066	By=15897300
sec war	Cy=5682066	By=15897300
secession war	Cy=5682066	By=15897300
secessionist war	Cy=5682066	By=15897300
second war	Cy=5682066	By=15897300
secondary war	Cy=5682066	By=15897300
secondworld war	Cy=5682066	By=15897300
secret war	Cy=5682066	By=15897300
secretary war	Cy=5682066	By=15897300
sectarian war	Cy=5682066	By=15897300
sectional war	Cy=5682066	By=15897300
secular war	Cy=5682066	By=15897300
secure war	Cy=5682066	By=15897300
securing war	Cy=5682066	By=15897300
security war	Cy=5682066	By=15897300
secy war	Cy=5682066	By=15897300
see war	Cy=5682066	By=15897300
seeing war	Cy=5682066	By=15897300
seek war	Cy=5682066	By=15897300
seeking war	Cy=5682066	By=15897300
seeks war	Cy=5682066	By=15897300
seele war	Cy=5682066	By=15897300
seemed war	Cy=5682066	By=15897300
seeming war	Cy=5682066	By=15897300
seems war	Cy=5682066	By=15897300
seen war	Cy=5682066	By=15897300
sees war	Cy=5682066	By=15897300
seesaw war	Cy=5682066	By=15897300
seething war	Cy=5682066	By=15897300
sehen war	Cy=5682066	By=15897300
seize war	Cy=5682066	By=15897300
selbst war	Cy=5682066	By=15897300
selected war	Cy=5682066	By=15897300
selfish war	Cy=5682066	By=15897300
sell war	Cy=5682066	By=15897300
selling war	Cy=5682066	By=15897300
seminolc war	Cy=5682066	By=15897300
seminole war	Cy=5682066	By=15897300
semitic war	Cy=5682066	By=15897300
semlnole war	Cy=5682066	By=15897300
senate war	Cy=5682066	By=15897300
send war	Cy=5682066	By=15897300
sending war	Cy=5682066	By=15897300
sends war	Cy=5682066	By=15897300
seneca war	Cy=5682066	By=15897300
senior war	Cy=5682066	By=15897300
sensational war	Cy=5682066	By=15897300
sense war	Cy=5682066	By=15897300
senseless war	Cy=5682066	By=15897300
sensible war	Cy=5682066	By=15897300
sensitive war	Cy=5682066	By=15897300
sent war	Cy=5682066	By=15897300
sentimental war	Cy=5682066	By=15897300
separate war	Cy=5682066	By=15897300
separating war	Cy=5682066	By=15897300
separatist war	Cy=5682066	By=15897300
sepoy war	Cy=5682066	By=15897300
september war	Cy=5682066	By=15897300
serb war	Cy=5682066	By=15897300
serbian war	Cy=5682066	By=15897300
series war	Cy=5682066	By=15897300
serious war	Cy=5682066	By=15897300
sertorian war	Cy=5682066	By=15897300
serve war	Cy=5682066	By=15897300
served war	Cy=5682066	By=15897300
serves war	Cy=5682066	By=15897300
servian war	Cy=5682066	By=15897300
service war	Cy=5682066	By=15897300
serviceable war	Cy=5682066	By=15897300
servile war	Cy=5682066	By=15897300
serving war	Cy=5682066	By=15897300
set war	Cy=5682066	By=15897300
setting war	Cy=5682066	By=15897300
settle war	Cy=5682066	By=15897300
settled war	Cy=5682066	By=15897300
settling war	Cy=5682066	By=15897300
seven war	Cy=5682066	By=15897300
seventeen war	Cy=5682066	By=15897300
seventh war	Cy=5682066	By=15897300
seventy war	Cy=5682066	By=15897300
sevenyears war	Cy=5682066	By=15897300
several war	Cy=5682066	By=15897300
severe war	Cy=5682066	By=15897300
severely war	Cy=5682066	By=15897300
sex war	Cy=5682066	By=15897300
sexual war	Cy=5682066	By=15897300
shabby war	Cy=5682066	By=15897300
shadow war	Cy=5682066	By=15897300
shadowy war	Cy=5682066	By=15897300
shaking war	Cy=5682066	By=15897300
shall war	Cy=5682066	By=15897300
sham war	Cy=5682066	By=15897300
shameful war	Cy=5682066	By=15897300
shameless war	Cy=5682066	By=15897300
shanghai war	Cy=5682066	By=15897300
shape war	Cy=5682066	By=15897300
shaped war	Cy=5682066	By=15897300
shaping war	Cy=5682066	By=15897300
share war	Cy=5682066	By=15897300
shared war	Cy=5682066	By=15897300
sharing war	Cy=5682066	By=15897300
sharp war	Cy=5682066	By=15897300
shattered war	Cy=5682066	By=15897300
shattering war	Cy=5682066	By=15897300
shawanoe war	Cy=5682066	By=15897300
shawnee war	Cy=5682066	By=15897300
she war	Cy=5682066	By=15897300
sheep war	Cy=5682066	By=15897300
sheepeater war	Cy=5682066	By=15897300
sheer war	Cy=5682066	By=15897300
shelter war	Cy=5682066	By=15897300
shift war	Cy=5682066	By=15897300
shifting war	Cy=5682066	By=15897300
shining war	Cy=5682066	By=15897300
ship war	Cy=5682066	By=15897300
shipping war	Cy=5682066	By=15897300
ships war	Cy=5682066	By=15897300
shitty war	Cy=5682066	By=15897300
shocked war	Cy=5682066	By=15897300
shocking war	Cy=5682066	By=15897300
shooting war	Cy=5682066	By=15897300
shore war	Cy=5682066	By=15897300
short war	Cy=5682066	By=15897300
shorten war	Cy=5682066	By=15897300
shorter war	Cy=5682066	By=15897300
shortest war	Cy=5682066	By=15897300
shoshone war	Cy=5682066	By=15897300
shot war	Cy=5682066	By=15897300
should war	Cy=5682066	By=15897300
shout war	Cy=5682066	By=15897300
shouted war	Cy=5682066	By=15897300
shouting war	Cy=5682066	By=15897300
show war	Cy=5682066	By=15897300
showdown war	Cy=5682066	By=15897300
showed war	Cy=5682066	By=15897300
showing war	Cy=5682066	By=15897300
shown war	Cy=5682066	By=15897300
shows war	Cy=5682066	By=15897300
shrieking war	Cy=5682066	By=15897300
shrill war	Cy=5682066	By=15897300
shuddering war	Cy=5682066	By=15897300
shun war	Cy=5682066	By=15897300
shunned war	Cy=5682066	By=15897300
sian war	Cy=5682066	By=15897300
sich war	Cy=5682066	By=15897300
sicilian war	Cy=5682066	By=15897300
sick war	Cy=5682066	By=15897300
sickening war	Cy=5682066	By=15897300
side war	Cy=5682066	By=15897300
sided war	Cy=5682066	By=15897300
sides war	Cy=5682066	By=15897300
sie war	Cy=5682066	By=15897300
siege war	Cy=5682066	By=15897300
sienese war	Cy=5682066	By=15897300
signal war	Cy=5682066	By=15897300
significant war	Cy=5682066	By=15897300
signified war	Cy=5682066	By=15897300
signifies war	Cy=5682066	By=15897300
signify war	Cy=5682066	By=15897300
signifying war	Cy=5682066	By=15897300
signs war	Cy=5682066	By=15897300
sikh war	Cy=5682066	By=15897300
silent war	Cy=5682066	By=15897300
silesian war	Cy=5682066	By=15897300
silly war	Cy=5682066	By=15897300
silvan war	Cy=5682066	By=15897300
silver war	Cy=5682066	By=15897300
similar war	Cy=5682066	By=15897300
simmering war	Cy=5682066	By=15897300
simple war	Cy=5682066	By=15897300
simplest war	Cy=5682066	By=15897300
simply war	Cy=5682066	By=15897300
simulate war	Cy=5682066	By=15897300
simulated war	Cy=5682066	By=15897300
simulating war	Cy=5682066	By=15897300
simultaneous war	Cy=5682066	By=15897300
sin war	Cy=5682066	By=15897300
sinai war	Cy=5682066	By=15897300
since war	Cy=5682066	By=15897300
sincere war	Cy=5682066	By=15897300
sinful war	Cy=5682066	By=15897300
sing war	Cy=5682066	By=15897300
singing war	Cy=5682066	By=15897300
single war	Cy=5682066	By=15897300
singlehanded war	Cy=5682066	By=15897300
singular war	Cy=5682066	By=15897300
sinister war	Cy=5682066	By=15897300
sinojapanese war	Cy=5682066	By=15897300
sioux war	Cy=5682066	By=15897300
sir war	Cy=5682066	By=15897300
sister war	Cy=5682066	By=15897300
sitting war	Cy=5682066	By=15897300
situation war	Cy=5682066	By=15897300
sive war	Cy=5682066	By=15897300
six war	Cy=5682066	By=15897300
sixday war	Cy=5682066	By=15897300
sixteen war	Cy=5682066	By=15897300
sixth war	Cy=5682066	By=15897300
sixty war	Cy=5682066	By=15897300
sizable war	Cy=5682066	By=15897300
size war	Cy=5682066	By=15897300
sizeable war	Cy=5682066	By=15897300
sized war	Cy=5682066	By=15897300
skilled war	Cy=5682066	By=15897300
skillful war	Cy=5682066	By=15897300
skin war	Cy=5682066	By=15897300
sky war	Cy=5682066	By=15897300
slain war	Cy=5682066	By=15897300
slave war	Cy=5682066	By=15897300
slavery war	Cy=5682066	By=15897300
slavic war	Cy=5682066	By=15897300
slaying war	Cy=5682066	By=15897300
sleeping war	Cy=5682066	By=15897300
slender war	Cy=5682066	By=15897300
slight war	Cy=5682066	By=15897300
slow war	Cy=5682066	By=15897300
slumbering war	Cy=5682066	By=15897300
smalcald war	Cy=5682066	By=15897300
smalcaldic war	Cy=5682066	By=15897300
smalkaldic war	Cy=5682066	By=15897300
small war	Cy=5682066	By=15897300
smaller war	Cy=5682066	By=15897300
smallest war	Cy=5682066	By=15897300
smallscale war	Cy=5682066	By=15897300
smart war	Cy=5682066	By=15897300
smell war	Cy=5682066	By=15897300
smelling war	Cy=5682066	By=15897300
smith war	Cy=5682066	By=15897300
smoky war	Cy=5682066	By=15897300
smoldering war	Cy=5682066	By=15897300
smolensk war	Cy=5682066	By=15897300
smothered war	Cy=5682066	By=15897300
smouldering war	Cy=5682066	By=15897300
smuggling war	Cy=5682066	By=15897300
snake war	Cy=5682066	By=15897300
sniping war	Cy=5682066	By=15897300
snorting war	Cy=5682066	By=15897300
snowball war	Cy=5682066	By=15897300
snuff war	Cy=5682066	By=15897300
so war	Cy=5682066	By=15897300
socalled war	Cy=5682066	By=15897300
soccer war	Cy=5682066	By=15897300
social war	Cy=5682066	By=15897300
socialist war	Cy=5682066	By=15897300
societies war	Cy=5682066	By=15897300
society war	Cy=5682066	By=15897300
soft war	Cy=5682066	By=15897300
sohn war	Cy=5682066	By=15897300
sold war	Cy=5682066	By=15897300
soldier war	Cy=5682066	By=15897300
soldiers war	Cy=5682066	By=15897300
sole war	Cy=5682066	By=15897300
solemn war	Cy=5682066	By=15897300
solid war	Cy=5682066	By=15897300
solitary war	Cy=5682066	By=15897300
solve war	Cy=5682066	By=15897300
somali war	Cy=5682066	By=15897300
some war	Cy=5682066	By=15897300
somehow war	Cy=5682066	By=15897300
something war	Cy=5682066	By=15897300
sometimes war	Cy=5682066	By=15897300
somewhat war	Cy=5682066	By=15897300
sommer war	Cy=5682066	By=15897300
son war	Cy=5682066	By=15897300
sonderbund war	Cy=5682066	By=15897300
sonst war	Cy=5682066	By=15897300
soon war	Cy=5682066	By=15897300
sooner war	Cy=5682066	By=15897300
sophisticated war	Cy=5682066	By=15897300
sordid war	Cy=5682066	By=15897300
sore war	Cy=5682066	By=15897300
sorrowful war	Cy=5682066	By=15897300
sorry war	Cy=5682066	By=15897300
soudan war	Cy=5682066	By=15897300
sought war	Cy=5682066	By=15897300
sound war	Cy=5682066	By=15897300
sounded war	Cy=5682066	By=15897300
sounding war	Cy=5682066	By=15897300
south war	Cy=5682066	By=15897300
southern war	Cy=5682066	By=15897300
soviet war	Cy=5682066	By=15897300
sovietfinnish war	Cy=5682066	By=15897300
sovietgerman war	Cy=5682066	By=15897300
spa war	Cy=5682066	By=15897300
space war	Cy=5682066	By=15897300
spain war	Cy=5682066	By=15897300
spanish war	Cy=5682066	By=15897300
spanishamerican war	Cy=5682066	By=15897300
spared war	Cy=5682066	By=15897300
sparing war	Cy=5682066	By=15897300
spartan war	Cy=5682066	By=15897300
spasm war	Cy=5682066	By=15897300
spasmodic war	Cy=5682066	By=15897300
spawned war	Cy=5682066	By=15897300
special war	Cy=5682066	By=15897300
specialized war	Cy=5682066	By=15897300
specific war	Cy=5682066	By=15897300
specifically war	Cy=5682066	By=15897300
specified war	Cy=5682066	By=15897300
spectacular war	Cy=5682066	By=15897300
spectral war	Cy=5682066	By=15897300
speculative war	Cy=5682066	By=15897300
speed war	Cy=5682066	By=15897300
speeding war	Cy=5682066	By=15897300
speedy war	Cy=5682066	By=15897300
spell war	Cy=5682066	By=15897300
spelled war	Cy=5682066	By=15897300
spells war	Cy=5682066	By=15897300
spellsong war	Cy=5682066	By=15897300
spelt war	Cy=5682066	By=15897300
spiked war	Cy=5682066	By=15897300
spirit war	Cy=5682066	By=15897300
spirited war	Cy=5682066	By=15897300
spiritual war	Cy=5682066	By=15897300
splendid war	Cy=5682066	By=15897300
splitting war	Cy=5682066	By=15897300
spoke war	Cy=5682066	By=15897300
sponsored war	Cy=5682066	By=15897300
spontaneous war	Cy=5682066	By=15897300
sporadic war	Cy=5682066	By=15897300
sportive war	Cy=5682066	By=15897300
spotted war	Cy=5682066	By=15897300
sprache war	Cy=5682066	By=15897300
spread war	Cy=5682066	By=15897300
spreading war	Cy=5682066	By=15897300
spring war	Cy=5682066	By=15897300
spy war	Cy=5682066	By=15897300
squalid war	Cy=5682066	By=15897300
squatter war	Cy=5682066	By=15897300
ss war	Cy=5682066	By=15897300
st war	Cy=5682066	By=15897300
stable war	Cy=5682066	By=15897300
stadt war	Cy=5682066	By=15897300
staff war	Cy=5682066	By=15897300
stage war	Cy=5682066	By=15897300
stagecoach war	Cy=5682066	By=15897300
staged war	Cy=5682066	By=15897300
staggering war	Cy=5682066	By=15897300
staging war	Cy=5682066	By=15897300
stagnant war	Cy=5682066	By=15897300
stained war	Cy=5682066	By=15897300
stalemate war	Cy=5682066	By=15897300
stalemated war	Cy=5682066	By=15897300
stand war	Cy=5682066	By=15897300
standard war	Cy=5682066	By=15897300
standards war	Cy=5682066	By=15897300
standing war	Cy=5682066	By=15897300
star war	Cy=5682066	By=15897300
staring war	Cy=5682066	By=15897300
stark war	Cy=5682066	By=15897300
starred war	Cy=5682066	By=15897300
start war	Cy=5682066	By=15897300
started war	Cy=5682066	By=15897300
starting war	Cy=5682066	By=15897300
startling war	Cy=5682066	By=15897300
starts war	Cy=5682066	By=15897300
starvation war	Cy=5682066	By=15897300
starved war	Cy=5682066	By=15897300
starving war	Cy=5682066	By=15897300
state war	Cy=5682066	By=15897300
stated war	Cy=5682066	By=15897300
stately war	Cy=5682066	By=15897300
states war	Cy=5682066	By=15897300
static war	Cy=5682066	By=15897300
stationary war	Cy=5682066	By=15897300
statistical war	Cy=5682066	By=15897300
status war	Cy=5682066	By=15897300
steady war	Cy=5682066	By=15897300
stealthy war	Cy=5682066	By=15897300
steam war	Cy=5682066	By=15897300
steamboat war	Cy=5682066	By=15897300
steamer war	Cy=5682066	By=15897300
steel war	Cy=5682066	By=15897300
sterile war	Cy=5682066	By=15897300
sterling war	Cy=5682066	By=15897300
stern war	Cy=5682066	By=15897300
sterner war	Cy=5682066	By=15897300
sternest war	Cy=5682066	By=15897300
stick war	Cy=5682066	By=15897300
stiff war	Cy=5682066	By=15897300
still war	Cy=5682066	By=15897300
stimme war	Cy=5682066	By=15897300
stimulate war	Cy=5682066	By=15897300
stimulated war	Cy=5682066	By=15897300
stimulating war	Cy=5682066	By=15897300
stinking war	Cy=5682066	By=15897300
stint war	Cy=5682066	By=15897300
stirring war	Cy=5682066	By=15897300
stock war	Cy=5682066	By=15897300
stone war	Cy=5682066	By=15897300
stones war	Cy=5682066	By=15897300
stood war	Cy=5682066	By=15897300
stop war	Cy=5682066	By=15897300
stopped war	Cy=5682066	By=15897300
stopping war	Cy=5682066	By=15897300
store war	Cy=5682066	By=15897300
storm war	Cy=5682066	By=15897300
stormy war	Cy=5682066	By=15897300
story war	Cy=5682066	By=15897300
stout war	Cy=5682066	By=15897300
straggling war	Cy=5682066	By=15897300
straight war	Cy=5682066	By=15897300
straightforward war	Cy=5682066	By=15897300
strange war	Cy=5682066	By=15897300
strangest war	Cy=5682066	By=15897300
strategic war	Cy=5682066	By=15897300
stray war	Cy=5682066	By=15897300
street war	Cy=5682066	By=15897300
strength war	Cy=5682066	By=15897300
strenuous war	Cy=5682066	By=15897300
stress war	Cy=5682066	By=15897300
stressed war	Cy=5682066	By=15897300
stressful war	Cy=5682066	By=15897300
stricken war	Cy=5682066	By=15897300
strict war	Cy=5682066	By=15897300
strictly war	Cy=5682066	By=15897300
strike war	Cy=5682066	By=15897300
striking war	Cy=5682066	By=15897300
stringent war	Cy=5682066	By=15897300
strip war	Cy=5682066	By=15897300
stripped war	Cy=5682066	By=15897300
stripping war	Cy=5682066	By=15897300
strong war	Cy=5682066	By=15897300
stronger war	Cy=5682066	By=15897300
strongest war	Cy=5682066	By=15897300
struggle war	Cy=5682066	By=15897300
stubborn war	Cy=5682066	By=15897300
